Symbol,Date,Open,High,Low,Close,Volume
AAV.TO,29 Mar 2019,2.24,2.25,2.2,2.2,489379
ABT.TO,29 Mar 2019,9.07,9.13,9.05,9.1,330139
ABX.TO,29 Mar 2019,18.7,18.81,18.31,18.32,3549748
AC.TO,29 Mar 2019,32.34,32.49,32.1,32.21,910404
ACB.TO,29 Mar 2019,11.85,12.29,11.72,12.09,9678519
ACB.WT.TO,29 Mar 2019,7.83,8.3,7.81,8.14,37535
ACD.TO,29 Mar 2019,10,10.04,10,10.04,500
ACI.TO,29 Mar 2019,17.28,17.84,17.25,17.8,42800
ACO.X.TO,29 Mar 2019,45.48,45.54,44.97,45,158608
ACO.Y.TO,29 Mar 2019,45.1,45.13,45,45,3300
ACQ.TO,29 Mar 2019,10.65,10.76,10.58,10.67,113970
ACZ.UN.TO,29 Mar 2019,12.45,12.45,12.45,12.45,100
AD.TO,29 Mar 2019,20.88,21.19,20.8,21.08,172756
ADN.TO,29 Mar 2019,16.5,16.59,16.19,16.27,10219
ADVZ.TO,29 Mar 2019,21.43,24.7,21.43,24.54,13307
ADVZ.U.TO,29 Mar 2019,17.51,18.11,17.2,18.11,794
ADW.A.TO,29 Mar 2019,13.2,13.47,13.09,13.23,17438
ADW.B.TO,29 Mar 2019,13.37,13.37,13.37,13.37,300
AEM.TO,29 Mar 2019,58.8,58.89,58.06,58.1,587002
AEZS.TO,29 Mar 2019,5.54,6.28,5.54,6.25,110176
AFN.TO,29 Mar 2019,62.21,63.11,62.05,62.26,84364
AFN.DB.B.TO,29 Mar 2019,100.02,100.02,100.01,100.01,16000
AFN.DB.C.TO,29 Mar 2019,108.5,110,108.5,109.87,88000
AFN.DB.D.TO,29 Mar 2019,101.51,101.51,101.5,101.5,9000
AFN.DB.E.TO,29 Mar 2019,100.51,100.51,100.49,100.5,70000
AFN.DB.F.TO,29 Mar 2019,100.35,100.35,100.25,100.3,139000
AGF.B.TO,29 Mar 2019,5.43,5.52,5.38,5.41,108434
AGI.TO,29 Mar 2019,6.95,6.99,6.78,6.78,1098074
AGT.TO,29 Mar 2019,17.86,17.94,17.86,17.9,24848
AI.TO,29 Mar 2019,13.21,13.24,13.18,13.23,14766
AI.DB.B.TO,29 Mar 2019,101,101.1,101,101.1,26000
AI.DB.C.TO,29 Mar 2019,99.01,99.01,98.99,99,62000
AIF.TO,29 Mar 2019,26.06,26.85,25.89,26.07,66650
AII.TO,29 Mar 2019,0.89,0.89,0.79,0.8,219785
AIM.TO,29 Mar 2019,3.89,3.97,3.85,3.92,953528
AIM.PR.A.TO,29 Mar 2019,21.91,21.91,21.75,21.75,600
AIM.PR.B.TO,29 Mar 2019,21.88,21.88,20.99,21.5,3800
AIM.PR.C.TO,29 Mar 2019,21.76,22.15,21,21.85,30283
AJX.TO,29 Mar 2019,0.68,0.68,0.68,0.68,500
AKG.TO,29 Mar 2019,0.82,0.85,0.82,0.84,42347
AKT.A.TO,29 Mar 2019,3.41,3.42,3.13,3.25,565229
AKT.B.TO,29 Mar 2019,3.4,3.6,3.38,3.6,4425
AKU.TO,29 Mar 2019,4.69,4.79,4.54,4.73,7700
AKU.U.TO,29 Mar 2019,3.31,3.73,3.31,3.56,19600
ALA.TO,29 Mar 2019,17.84,17.84,17.59,17.59,863675
ALA.PR.A.TO,29 Mar 2019,14.14,14.3,14.09,14.12,5200
ALA.PR.B.TO,29 Mar 2019,14.3,14.46,14.3,14.35,1900
ALA.PR.E.TO,29 Mar 2019,18.6,18.65,18.55,18.65,13910
ALA.PR.G.TO,29 Mar 2019,16.21,16.21,15.99,15.99,1617
ALA.PR.I.TO,29 Mar 2019,22.05,22.1,22,22.07,7219
ALA.PR.K.TO,29 Mar 2019,19.75,19.88,19.75,19.86,24400
ALA.PR.U.TO,29 Mar 2019,19.21,19.26,19.2,19.2,3400
ALB.TO,29 Mar 2019,25.82,25.83,25.82,25.83,800
ALB.PR.C.TO,29 Mar 2019,26.01,26.02,26.01,26.02,700
ALC.TO,29 Mar 2019,12.6,12.61,12.51,12.51,2000
ALEF.TO,29 Mar 2019,1.95,1.96,1.86,1.9,1170449
ALO.TO,29 Mar 2019,0.99,0.99,0.96,0.97,17819
ALS.TO,29 Mar 2019,12.86,12.92,12.69,12.8,50268
ALYA.TO,29 Mar 2019,4.25,4.25,4,4.2,13130
AMM.TO,29 Mar 2019,0.79,0.8,0.78,0.78,62850
ANX.TO,29 Mar 2019,0.32,0.34,0.31,0.32,328713
AOI.TO,29 Mar 2019,1.12,1.13,1.11,1.11,32100
AP.UN.TO,29 Mar 2019,49.32,49.43,49.24,49.3,244290
APHA.TO,29 Mar 2019,12.32,12.58,12.1,12.46,2083965
APR.UN.TO,29 Mar 2019,10.78,10.78,10.75,10.78,13313
APS.TO,29 Mar 2019,2.69,2.69,2.55,2.69,15502
AQA.TO,29 Mar 2019,0.2,0.2,0.2,0.2,5000
AQN.TO,29 Mar 2019,15.04,15.15,14.89,15.03,940050
AQN.PR.A.TO,29 Mar 2019,20.35,20.38,20.25,20.38,3756
AQN.PR.D.TO,29 Mar 2019,21.36,21.39,21.36,21.39,2100
AQY.A.TO,29 Mar 2019,10.11,10.19,10.11,10.13,2200
AQY.WT.TO,29 Mar 2019,0.15,0.15,0.15,0.15,1100
AR.TO,29 Mar 2019,1.88,1.89,1.86,1.88,439500
ARE.TO,29 Mar 2019,17.52,17.62,17.34,17.44,273181
ARE.DB.C.TO,29 Mar 2019,102.5,102.5,102.25,102.25,14000
ARG.TO,29 Mar 2019,1.09,1.1,1.08,1.1,49499
ARX.TO,29 Mar 2019,9.38,9.48,9.1,9.12,1916466
ASM.TO,29 Mar 2019,0.8,0.82,0.79,0.82,39900
ASND.TO,29 Mar 2019,0.5,0.51,0.5,0.51,8000
ASO.TO,29 Mar 2019,2.31,2.31,2.19,2.2,30900
ASP.TO,29 Mar 2019,0.16,0.17,0.16,0.16,239546
ASR.TO,29 Mar 2019,3.8,3.83,3.63,3.63,536804
ATA.TO,29 Mar 2019,19.5,19.75,19.5,19.64,156617
ATD.A.TO,29 Mar 2019,79.07,79.07,78.2,78.96,1492
ATD.B.TO,29 Mar 2019,78.52,79.18,77.68,78.72,1530744
ATH.TO,29 Mar 2019,0.87,0.88,0.85,0.85,638911
ATP.TO,29 Mar 2019,3.39,3.4,3.34,3.35,35250
ATZ.TO,29 Mar 2019,17.97,18.22,17.76,17.76,966029
AUG.TO,29 Mar 2019,1.92,1.97,1.85,1.97,92545
AUMN.TO,29 Mar 2019,0.38,0.38,0.36,0.36,8100
AUP.TO,29 Mar 2019,8.65,8.8,8.58,8.67,43654
AVL.TO,29 Mar 2019,0.05,0.05,0.05,0.05,102000
AVP.TO,29 Mar 2019,0.07,0.07,0.06,0.06,237533
AW.UN.TO,29 Mar 2019,38.75,39.13,38.35,38.92,15852
AX.PR.A.TO,29 Mar 2019,21.63,21.66,21.63,21.66,400
AX.PR.E.TO,29 Mar 2019,20.35,20.56,20.33,20.4,8300
AX.PR.G.TO,29 Mar 2019,21.67,21.77,21.67,21.74,7100
AX.PR.I.TO,29 Mar 2019,24.15,24.47,24.15,24.3,3800
AX.UN.TO,29 Mar 2019,11.02,11.14,11.02,11.11,538294
AXR.TO,29 Mar 2019,1.69,1.69,1.6,1.61,118165
AZP.PR.A.TO,29 Mar 2019,14.58,14.58,14.51,14.51,801
AZP.PR.C.TO,29 Mar 2019,17.95,17.95,17.95,17.95,200
AZZ.TO,29 Mar 2019,0.23,0.23,0.23,0.23,28600
BAD.TO,29 Mar 2019,40.69,40.78,40.31,40.62,168061
BAM.A.TO,29 Mar 2019,62.61,62.7,61.95,62.26,1222016
BAM.PF.A.TO,29 Mar 2019,20.9,21.25,20.9,21.25,14572
BAM.PF.B.TO,29 Mar 2019,19.03,19.03,18.97,18.97,211
BAM.PF.C.TO,29 Mar 2019,21.58,21.58,21.4,21.47,5583
BAM.PF.D.TO,29 Mar 2019,22,22,22,22,303
BAM.PF.E.TO,29 Mar 2019,17.7,17.91,17.7,17.76,5633
BAM.PF.F.TO,29 Mar 2019,19.4,19.4,19.35,19.36,16300
BAM.PF.G.TO,29 Mar 2019,19.4,19.4,19.39,19.39,525
BAM.PF.H.TO,29 Mar 2019,25.73,25.97,25.73,25.96,6850
BAM.PF.I.TO,29 Mar 2019,25.15,25.5,25.12,25.5,50226
BAM.PF.J.TO,29 Mar 2019,23.85,24.03,23.77,24,9181
BAM.PR.B.TO,29 Mar 2019,11.9,12.02,11.85,11.89,9637
BAM.PR.C.TO,29 Mar 2019,11.81,11.86,11.81,11.86,800
BAM.PR.E.TO,29 Mar 2019,17.1,17.1,16.6,16.7,3000
BAM.PR.K.TO,29 Mar 2019,11.95,11.99,11.8,11.85,5849
BAM.PR.M.TO,29 Mar 2019,20.96,21,20.96,21,3217
BAM.PR.N.TO,29 Mar 2019,21.17,21.17,20.86,20.87,2422
BAM.PR.R.TO,29 Mar 2019,16.11,16.19,15.9,16.14,1703
BAM.PR.S.TO,29 Mar 2019,15.85,15.95,15.75,15.75,9800
BAM.PR.T.TO,29 Mar 2019,16.14,16.4,16.1,16.25,9825
BAM.PR.X.TO,29 Mar 2019,14.06,14.11,14.01,14.01,22351
BAM.PR.Z.TO,29 Mar 2019,20.12,20.35,20.1,20.35,7120
BAR.TO,29 Mar 2019,0.12,0.13,0.12,0.13,58600
BB.TO,29 Mar 2019,13.19,13.74,13.08,13.47,7603377
BBD.A.TO,29 Mar 2019,2.71,2.71,2.58,2.62,220039
BBD.B.TO,29 Mar 2019,2.66,2.68,2.53,2.57,21155560
BBD.PR.B.TO,29 Mar 2019,11.76,11.84,11.7,11.84,14950
BBD.PR.C.TO,29 Mar 2019,20.53,21.35,20.39,20.6,48744
BBD.PR.D.TO,29 Mar 2019,12.37,12.41,12.31,12.31,51300
BBL.A.TO,29 Mar 2019,6.4,6.62,6.4,6.62,800
BBU.UN.TO,29 Mar 2019,51.89,53.35,51.78,52.95,71522
BCB.TO,29 Mar 2019,19.67,19.67,19.41,19.5,221530
BCE.TO,29 Mar 2019,59.48,59.48,58.98,59.34,2528408
BCE.PR.A.TO,29 Mar 2019,15.43,15.59,15.42,15.42,10499
BCE.PR.B.TO,29 Mar 2019,15.48,15.55,15.45,15.48,11429
BCE.PR.C.TO,29 Mar 2019,16.48,16.48,16.33,16.33,14730
BCE.PR.D.TO,29 Mar 2019,15.46,15.52,15.43,15.47,8200
BCE.PR.E.TO,29 Mar 2019,15.4,15.49,15.39,15.45,5800
BCE.PR.F.TO,29 Mar 2019,15.2,15.22,15.2,15.2,450
BCE.PR.G.TO,29 Mar 2019,14.52,14.52,14.52,14.52,400
BCE.PR.H.TO,29 Mar 2019,15.45,15.48,15.43,15.48,6800
BCE.PR.I.TO,29 Mar 2019,14.69,15,14.69,14.99,500
BCE.PR.J.TO,29 Mar 2019,15.45,15.5,15.45,15.46,4820
BCE.PR.K.TO,29 Mar 2019,13.78,14.05,13.78,14,37976
BCE.PR.L.TO,29 Mar 2019,14.39,14.43,13.97,13.99,4450
BCE.PR.M.TO,29 Mar 2019,14.15,14.45,14.15,14.45,4000
BCE.PR.O.TO,29 Mar 2019,20.59,20.6,20.54,20.6,2300
BCE.PR.Q.TO,29 Mar 2019,19.69,19.87,19.69,19.82,7900
BCE.PR.R.TO,29 Mar 2019,15.49,15.49,15.33,15.45,41500
BCE.PR.S.TO,29 Mar 2019,15.46,15.46,15.46,15.46,300
BCE.PR.T.TO,29 Mar 2019,14.95,14.96,14.95,14.96,200
BCE.PR.Y.TO,29 Mar 2019,15.4,15.49,15.38,15.45,4900
BCE.PR.Z.TO,29 Mar 2019,15.35,15.49,15.35,15.49,700
BCI.TO,29 Mar 2019,29.52,29.52,29.18,29.26,1404
BDI.TO,29 Mar 2019,1.87,1.87,1.8,1.8,14200
BDT.TO,29 Mar 2019,7.89,7.91,7.79,7.88,41662
BEI.UN.TO,29 Mar 2019,40.96,41.07,40.66,40.78,152277
BEK.B.TO,29 Mar 2019,14.26,14.26,14.17,14.17,650
BEP.PR.E.TO,29 Mar 2019,22.55,22.55,22.55,22.55,100
BEP.PR.G.TO,29 Mar 2019,24.6,24.68,24.6,24.68,1900
BEP.PR.I.TO,29 Mar 2019,25.39,25.44,25.33,25.33,1400
BEP.PR.K.TO,29 Mar 2019,21.32,21.7,21.32,21.57,8200
BEP.PR.M.TO,29 Mar 2019,21.06,21.24,21.06,21.24,7240
BEP.PR.O.TO,29 Mar 2019,24.45,24.56,24.39,24.44,18650
BEP.UN.TO,29 Mar 2019,42.44,42.7,42.06,42.6,89527
BFIN.TO,29 Mar 2019,18.8,18.8,18.8,18.8,300
BGI.UN.TO,29 Mar 2019,7,7,6.75,6.78,61289
BGU.TO,29 Mar 2019,24.12,24.12,24.12,24.12,260
BHC.TO,29 Mar 2019,33.01,33.08,32.56,32.97,582714
BIK.PR.A.TO,29 Mar 2019,25.6,25.6,25.58,25.58,4100
BIP.PR.A.TO,29 Mar 2019,20.09,20.42,20.05,20.1,7063
BIP.PR.B.TO,29 Mar 2019,25.17,25.17,25.08,25.08,400
BIP.PR.C.TO,29 Mar 2019,25.05,25.06,24.94,25,4800
BIP.PR.D.TO,29 Mar 2019,22.33,22.36,22.3,22.35,6300
BIP.PR.E.TO,29 Mar 2019,21.75,22.21,21.75,22.18,4800
BIP.PR.F.TO,29 Mar 2019,22.45,22.49,22.32,22.34,7800
BIP.UN.TO,29 Mar 2019,55.69,55.98,55.05,55.81,462116
BIR.TO,29 Mar 2019,3.73,3.73,3.56,3.56,537956
BIR.PR.A.TO,29 Mar 2019,25.3,25.3,25.3,25.3,300
BIR.PR.C.TO,29 Mar 2019,24.76,24.76,24.7,24.7,600
BK.TO,29 Mar 2019,10.72,10.72,10.55,10.59,5795
BK.PR.A.TO,29 Mar 2019,10.32,10.32,10.32,10.32,400
BKCH.TO,29 Mar 2019,20.95,20.95,20.95,20.95,150
BKI.TO,29 Mar 2019,0.07,0.07,0.06,0.06,15076
BKL.F.TO,29 Mar 2019,18.3,18.32,18.3,18.32,463
BKX.TO,29 Mar 2019,0.3,0.3,0.28,0.28,44499
BL.UN.TO,29 Mar 2019,10.25,10.28,10.17,10.28,9000
BLB.UN.TO,29 Mar 2019,8.98,8.98,8.97,8.97,2400
BLDP.TO,29 Mar 2019,4.11,4.11,4.01,4.05,77621
BLU.TO,29 Mar 2019,1.5,1.66,1.5,1.62,352075
BLX.TO,29 Mar 2019,19.03,19.16,18.9,18.96,176520
BLX.DB.A.TO,29 Mar 2019,104.49,104.49,103.52,103.52,6000
BMO.TO,29 Mar 2019,100.95,100.95,99.77,99.99,1444373
BMO.PR.A.TO,29 Mar 2019,23.9,23.9,23.9,23.9,2100
BMO.PR.B.TO,29 Mar 2019,25.94,26.04,25.85,25.85,8288
BMO.PR.C.TO,29 Mar 2019,24.02,24.37,24.02,24.04,10300
BMO.PR.D.TO,29 Mar 2019,22.93,23.14,22.8,22.8,6050
BMO.PR.E.TO,29 Mar 2019,22.8,23.15,22.8,23.1,8405
BMO.PR.Q.TO,29 Mar 2019,23.67,23.67,23.5,23.6,7400
BMO.PR.S.TO,29 Mar 2019,18.7,19.05,18.7,19,11000
BMO.PR.T.TO,29 Mar 2019,18.09,18.35,18.09,18.18,10200
BMO.PR.W.TO,29 Mar 2019,18.09,18.2,18.01,18.11,9000
BMO.PR.Y.TO,29 Mar 2019,20.7,20.88,20.5,20.64,17100
BMO.PR.Z.TO,29 Mar 2019,24.98,25.47,24.98,25.1,4600
BND.TO,29 Mar 2019,18.88,18.88,18.88,18.88,3100
BNE.TO,29 Mar 2019,6.36,6.42,6.23,6.28,108942
BNP.TO,29 Mar 2019,1.13,1.14,1.11,1.11,210306
BNS.TO,29 Mar 2019,71.69,71.69,71.07,71.14,3674801
BNS.PR.D.TO,29 Mar 2019,24.56,24.58,24.56,24.57,4300
BNS.PR.E.TO,29 Mar 2019,26.21,26.34,26.21,26.34,8500
BNS.PR.F.TO,29 Mar 2019,24.41,24.59,24.41,24.59,1861
BNS.PR.G.TO,29 Mar 2019,26.45,26.5,26.45,26.48,11655
BNS.PR.H.TO,29 Mar 2019,26.07,26.08,25.98,26.06,95700
BNS.PR.I.TO,29 Mar 2019,22.95,23.05,22.9,22.94,13800
BNS.PR.Y.TO,29 Mar 2019,24.4,24.5,24.4,24.5,7120
BNS.PR.Z.TO,29 Mar 2019,23.94,24.06,23.94,24,12600
BOS.TO,29 Mar 2019,8.16,8.28,8.08,8.14,12450
BOY.TO,29 Mar 2019,0.46,0.47,0.46,0.47,3000
BPF.UN.TO,29 Mar 2019,16.59,16.73,16.5,16.64,33605
BPO.PR.A.TO,29 Mar 2019,17.15,17.38,17.15,17.21,1596
BPO.PR.C.TO,29 Mar 2019,25.55,25.61,25.55,25.61,7613
BPO.PR.E.TO,29 Mar 2019,22.21,22.25,22.15,22.2,12101
BPO.PR.G.TO,29 Mar 2019,19.95,20.1,19.85,19.89,16524
BPO.PR.I.TO,29 Mar 2019,19.74,19.74,19.5,19.65,2600
BPO.PR.N.TO,29 Mar 2019,16.01,16.2,16.01,16.15,2486
BPO.PR.P.TO,29 Mar 2019,16.15,16.21,16.02,16.06,5472
BPO.PR.R.TO,29 Mar 2019,17.59,17.59,17.59,17.59,370
BPO.PR.T.TO,29 Mar 2019,18.99,19.16,18.99,19.15,7954
BPO.PR.W.TO,29 Mar 2019,11,11,11,11,100
BPO.PR.X.TO,29 Mar 2019,10.95,10.95,10.95,10.95,500
BPRF.TO,29 Mar 2019,25.16,25.16,25.16,25.16,200
BPS.PR.A.TO,29 Mar 2019,25.85,25.94,25.85,25.94,200
BPY.UN.TO,29 Mar 2019,27.86,27.86,27.39,27.49,604065
BR.TO,29 Mar 2019,5.96,6,5.96,6,1900
BRB.TO,29 Mar 2019,3.97,4,3.97,3.99,6200
BRE.TO,29 Mar 2019,17,17,16.91,16.91,14586
BRF.PR.A.TO,29 Mar 2019,15.4,15.9,15.4,15.77,5299
BRF.PR.C.TO,29 Mar 2019,17.2,17.2,16.72,17.2,6300
BRF.PR.E.TO,29 Mar 2019,21,21,20.81,20.81,960
BRF.PR.F.TO,29 Mar 2019,21.04,21.04,20.82,20.82,2200
BRY.TO,29 Mar 2019,0.21,0.21,0.21,0.21,5594
BSC.PR.C.TO,29 Mar 2019,19.94,19.95,19.94,19.95,1059
BSD.UN.TO,29 Mar 2019,0.76,0.76,0.67,0.71,2000
BSO.UN.TO,29 Mar 2019,3.95,3.95,3.94,3.94,2800
BSX.TO,29 Mar 2019,0.29,0.29,0.29,0.29,52700
BTB.DB.F.TO,29 Mar 2019,102.5,102.5,101.75,101.75,20999
