Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,10 Jan 2019,0.07,0.07,0.07,0.07,0
AAV.TO,10 Jan 2019,2.29,2.37,2.24,2.3,510497
ABT.TO,10 Jan 2019,7.96,8.03,7.88,8,59700
ABX.TO,10 Jan 2019,16.5,16.58,16.3,16.37,5703662
AC.TO,10 Jan 2019,26.51,26.73,25.75,26.54,1422895
ACB.TO,10 Jan 2019,7.21,7.96,7.06,7.88,25113490
ACB.WT.TO,10 Jan 2019,3.78,4.31,3.7,4.17,142805
ACD.TO,10 Jan 2019,8.96,8.96,8.96,8.96,400
ACD.DB.TO,10 Jan 2019,97,97,96.99,97,110000
ACI.TO,10 Jan 2019,16.26,16.69,16.25,16.56,9679
ACO.X.TO,10 Jan 2019,39.11,39.61,39.08,39.6,189904
ACO.Y.TO,10 Jan 2019,39.22,39.5,39.15,39.5,3600
ACQ.TO,10 Jan 2019,11.35,11.59,11.12,11.5,108656
ACZ.UN.TO,10 Jan 2019,11.25,11.25,11.25,11.25,0
AD.TO,10 Jan 2019,17.68,18.01,17.61,17.92,176954
ADN.TO,10 Jan 2019,15.24,15.27,15.13,15.14,13883
ADVZ.TO,10 Jan 2019,24.72,25.23,24.72,25.05,2806
ADVZ.U.TO,10 Jan 2019,18.95,18.97,18.95,18.97,900
ADW.A.TO,10 Jan 2019,14.43,14.54,14.31,14.53,32167
ADW.B.TO,10 Jan 2019,14.35,14.45,14.35,14.45,1600
AEF.TO,10 Jan 2019,0.92,0.92,0.92,0.92,25000
AEF.WT.TO,10 Jan 2019,0.01,0.01,0.01,0.01,0
AEM.TO,10 Jan 2019,53.33,53.7,52.17,52.51,784822
AEZS.TO,10 Jan 2019,4.48,4.64,4.42,4.57,13700
AFN.TO,10 Jan 2019,49.35,49.67,48.99,49.6,43600
AFN.DB.B.TO,10 Jan 2019,100.66,100.66,100.65,100.65,28000
AFN.DB.C.TO,10 Jan 2019,101.5,101.5,101.5,101.5,10000
AFN.DB.D.TO,10 Jan 2019,100.2,100.2,100.16,100.16,32000
AFN.DB.E.TO,10 Jan 2019,99.49,99.5,99.25,99.25,53000
AGF.B.TO,10 Jan 2019,4.79,4.9,4.74,4.8,83913
AGI.TO,10 Jan 2019,5.12,5.17,4.96,5.04,990783
AGT.TO,10 Jan 2019,16.91,17.02,16.9,16.92,12036
AHY.UN.TO,10 Jan 2019,7.24,7.24,7.24,7.24,100
