Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,04 Jan 2019,0.06,0.06,0.06,0.06,439822
AAV.TO,04 Jan 2019,2.08,2.26,2.08,2.19,1143471
ABT.TO,04 Jan 2019,7.9,7.99,7.87,7.95,57400
ABX.TO,04 Jan 2019,17.3,17.66,17.02,17.55,6577042
AC.TO,04 Jan 2019,25.33,26.77,25.28,26.69,1023929
ACB.TO,04 Jan 2019,7.04,7.17,6.9,7.02,8630916
ACB.WT.TO,04 Jan 2019,3.59,3.74,3.59,3.65,16930
ACD.TO,04 Jan 2019,9.14,9.14,9.14,9.14,0
ACD.DB.TO,04 Jan 2019,97,97,96.99,97,75000
ACI.TO,04 Jan 2019,16.23,16.23,15.88,16.1,601283
ACO.X.TO,04 Jan 2019,38.19,38.79,37.93,38.34,168927
ACO.Y.TO,04 Jan 2019,38.41,38.41,38,38.35,2623
ACQ.TO,04 Jan 2019,11.6,11.65,11.17,11.38,95172
ACZ.UN.TO,04 Jan 2019,11.17,11.17,11.17,11.17,0
AD.TO,04 Jan 2019,16.74,17.07,16.7,16.94,108493
ADN.TO,04 Jan 2019,15.23,15.23,14.83,14.86,16836
ADVZ.TO,04 Jan 2019,25.59,25.59,25.42,25.47,7270
ADVZ.U.TO,04 Jan 2019,19,19,19,19,6200
ADW.A.TO,04 Jan 2019,13.39,13.87,13.29,13.87,26080
ADW.B.TO,04 Jan 2019,13.5,13.76,13.5,13.76,1000
AEF.TO,04 Jan 2019,0.98,0.99,0.98,0.99,5000
AEF.WT.TO,04 Jan 2019,0.01,0.01,0.01,0.01,50000
AEM.TO,04 Jan 2019,54.54,54.94,53.38,54.23,1208824
AEZS.TO,04 Jan 2019,4.14,4.61,4.14,4.57,40549
AFN.TO,04 Jan 2019,46.16,48.01,45.86,47.04,44278
AFN.DB.B.TO,04 Jan 2019,100.66,100.66,100.65,100.65,3000
AFN.DB.C.TO,04 Jan 2019,101.5,101.5,101.5,101.5,0
AFN.DB.D.TO,04 Jan 2019,100.31,100.31,100.31,100.31,20000
AFN.DB.E.TO,04 Jan 2019,99.25,100,99.25,99.95,81000
AGF.B.TO,04 Jan 2019,5.11,5.19,5.08,5.14,81264
AGI.TO,04 Jan 2019,5.15,5.15,4.95,5.1,952070
AGT.TO,04 Jan 2019,17.48,17.48,17.22,17.28,39330
AHY.UN.TO,04 Jan 2019,7.03,7.09,7.03,7.09,700
AI.TO,04 Jan 2019,12.85,12.95,12.83,12.94,11806
AI.DB.TO,04 Jan 2019,99.5,99.5,99.5,99.5,31000
AI.DB.A.TO,04 Jan 2019,99.88,99.88,99.88,99.88,0
AI.DB.B.TO,04 Jan 2019,100,100,100,100,0
AI.DB.C.TO,04 Jan 2019,95.99,96,95.99,96,80000
AI.DB.D.TO,04 Jan 2019,97,97,97,97,10000
AIF.TO,04 Jan 2019,22.19,22.9,22.17,22.54,58207
AII.TO,04 Jan 2019,0.63,0.67,0.63,0.67,51600
AIM.TO,04 Jan 2019,3.63,3.69,3.57,3.67,388194
AIM.PR.A.TO,04 Jan 2019,24.51,24.51,24.5,24.5,1500
AIM.PR.B.TO,04 Jan 2019,24.3,24.3,24.3,24.3,0
AIM.PR.C.TO,04 Jan 2019,24.2,24.2,24.12,24.14,2300
AJX.TO,04 Jan 2019,0.8,0.8,0.75,0.8,35344
AKG.TO,04 Jan 2019,0.97,1,0.96,1,37739
AKT.A.TO,04 Jan 2019,4,4.14,3.94,3.94,1631
AKT.B.TO,04 Jan 2019,4.48,4.48,4.48,4.48,0
AKU.TO,04 Jan 2019,4.06,4.4,4.05,4.4,3200
AKU.U.TO,04 Jan 2019,3.27,3.35,3.27,3.35,5899
