Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,17 Jan 2019,0.06,0.06,0.05,0.05,308300
AAV.TO,17 Jan 2019,2.35,2.38,2.26,2.33,675662
ABT.TO,17 Jan 2019,7.9,7.99,7.9,7.99,1403704
ABX.TO,17 Jan 2019,15.75,15.95,15.66,15.78,4576671
AC.TO,17 Jan 2019,27.84,28.6,27.69,28.34,1131679
ACB.TO,17 Jan 2019,8.96,9.42,8.7,8.7,34103770
ACB.WT.TO,17 Jan 2019,5.38,5.78,5.22,5.28,187485
ACD.TO,17 Jan 2019,9.56,9.56,9.56,9.56,100
ACD.DB.TO,17 Jan 2019,98,98,98,98,0
ACI.TO,17 Jan 2019,16.23,16.37,16.17,16.28,22555
ACO.X.TO,17 Jan 2019,39.69,40.22,39.69,39.98,160021
ACO.Y.TO,17 Jan 2019,40,40,40,40,100
ACQ.TO,17 Jan 2019,11.31,11.56,11.2,11.23,50720
ACZ.UN.TO,17 Jan 2019,11.5,11.65,11.5,11.65,850
AD.TO,17 Jan 2019,18.43,18.75,18.37,18.67,147916
ADN.TO,17 Jan 2019,15.81,15.81,15.01,15.72,19208
ADVZ.TO,17 Jan 2019,25.18,25.18,25.07,25.15,732
ADVZ.U.TO,17 Jan 2019,19.15,19.15,19.15,19.15,0
ADW.A.TO,17 Jan 2019,14.67,14.85,14.29,14.43,50704
ADW.B.TO,17 Jan 2019,14.64,14.64,14.64,14.64,100
AEF.TO,17 Jan 2019,0.92,0.92,0.92,0.92,0
AEF.WT.TO,17 Jan 2019,0.01,0.01,0.01,0.01,17500
AEM.TO,17 Jan 2019,52.24,52.61,51.88,52.38,515583
AEZS.TO,17 Jan 2019,4.86,5.27,4.8,5.03,88296
AFN.TO,17 Jan 2019,51.99,51.99,50.63,50.95,26414
AFN.DB.B.TO,17 Jan 2019,100.66,100.66,100.65,100.65,3000
AFN.DB.C.TO,17 Jan 2019,102.99,102.99,102.99,102.99,0
AFN.DB.D.TO,17 Jan 2019,100.26,100.36,100.26,100.35,17000
AFN.DB.E.TO,17 Jan 2019,99.74,100,99.5,99.75,330998
AGF.B.TO,17 Jan 2019,4.8,4.87,4.75,4.81,68729
AGI.TO,17 Jan 2019,5.45,5.53,5.38,5.39,1370673
AGT.TO,17 Jan 2019,16.86,16.89,16.6,16.72,83134
AHY.UN.TO,17 Jan 2019,7.24,7.24,7.24,7.24,0
AI.TO,17 Jan 2019,13.44,13.49,13.36,13.45,22165
AI.DB.TO,17 Jan 2019,100.15,100.16,100,100,48000
AI.DB.A.TO,17 Jan 2019,100.12,100.12,100.12,100.12,0
AI.DB.B.TO,17 Jan 2019,100,100,99.5,99.5,22000
AI.DB.C.TO,17 Jan 2019,99,99,98.5,98.5,12000
AI.DB.D.TO,17 Jan 2019,97.35,97.35,97.35,97.35,0
AIF.TO,17 Jan 2019,24.54,24.7,24.46,24.62,57664
AII.TO,17 Jan 2019,0.62,0.66,0.62,0.64,27000
AIM.TO,17 Jan 2019,3.73,3.75,3.67,3.69,129025
AIM.PR.A.TO,17 Jan 2019,25,25,25,25,0
AIM.PR.B.TO,17 Jan 2019,25.1,25.1,25.1,25.1,100
AIM.PR.C.TO,17 Jan 2019,24.99,25,24.92,25,10200
AJX.TO,17 Jan 2019,0.84,0.86,0.83,0.84,6384
AKG.TO,17 Jan 2019,0.94,0.95,0.91,0.93,53653
AKT.A.TO,17 Jan 2019,3.8,3.8,3.68,3.73,6566
AKT.B.TO,17 Jan 2019,4.04,4.04,4.04,4.04,0
AKU.TO,17 Jan 2019,4.36,4.36,4.36,4.36,9000
AKU.U.TO,17 Jan 2019,3.25,3.25,3.22,3.22,13200
ALA.TO,17 Jan 2019,13.8,14.09,13.63,13.96,1030029
ALA.PR.A.TO,17 Jan 2019,14.35,14.42,14.3,14.3,4300
ALA.PR.B.TO,17 Jan 2019,14.6,14.6,14.5,14.5,803
ALA.PR.E.TO,17 Jan 2019,17.75,17.76,17.41,17.47,23280
ALA.PR.G.TO,17 Jan 2019,16.5,16.65,16.21,16.44,10955
ALA.PR.I.TO,17 Jan 2019,20.5,20.6,20.07,20.26,8100
ALA.PR.K.TO,17 Jan 2019,18,18.06,17.6,17.7,22053
ALA.PR.U.TO,17 Jan 2019,18.1,18.29,17.6,17.7,32307
ALB.TO,17 Jan 2019,24.99,25,24.99,25,200
