Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,26 Feb 2019,0.05,0.05,0.05,0.05,41500
AAV.TO,26 Feb 2019,2.34,2.43,2.31,2.32,971843
ABT.TO,26 Feb 2019,9.11,9.2,9.11,9.17,80910
ABX.TO,26 Feb 2019,16.6,16.71,16.16,16.59,4839331
AC.TO,26 Feb 2019,33.39,34.12,33.02,33.92,1266623
ACB.TO,26 Feb 2019,9.73,10.2,9.63,10.2,17668860
ACB.WT.TO,26 Feb 2019,6.04,6.35,5.9,6.32,130818
ACD.TO,26 Feb 2019,9.45,9.45,9.45,9.45,2000
ACI.TO,26 Feb 2019,16.98,17.05,16.89,17,13683
ACO.X.TO,26 Feb 2019,42.17,42.72,42.13,42.55,106145
ACO.Y.TO,26 Feb 2019,42.5,42.5,42.5,42.5,100
ACQ.TO,26 Feb 2019,13.26,13.26,12.76,12.97,89891
ACZ.UN.TO,26 Feb 2019,12.6,12.6,12.6,12.6,800
AD.TO,26 Feb 2019,20.22,20.3,20.14,20.2,156590
ADN.TO,26 Feb 2019,17.47,17.52,17.39,17.4,4415
ADVZ.TO,26 Feb 2019,24.75,24.75,24.43,24.43,623
ADW.A.TO,26 Feb 2019,13.38,13.39,13.24,13.27,16179
ADW.B.TO,26 Feb 2019,13.25,13.25,13.25,13.25,500
AEF.TO,26 Feb 2019,0.84,0.84,0.81,0.81,16500
AEM.TO,26 Feb 2019,57.02,57.4,56.23,56.95,666242
AEZS.TO,26 Feb 2019,5.46,5.52,5.16,5.28,26466
AFN.TO,26 Feb 2019,58.1,59.46,57.41,59.31,85207
AFN.DB.B.TO,26 Feb 2019,100.18,100.21,100.18,100.2,33000
AFN.DB.C.TO,26 Feb 2019,104.15,104.15,104.15,104.15,25000
AFN.DB.D.TO,26 Feb 2019,101.2,101.2,101.2,101.2,155000
AFN.DB.E.TO,26 Feb 2019,100,100.1,99.89,100,226000
AGF.B.TO,26 Feb 2019,5.42,5.45,5.39,5.43,244962
AGI.TO,26 Feb 2019,6.42,6.61,6.4,6.47,1211308
AGT.TO,26 Feb 2019,17.81,17.83,17.79,17.83,197952
AI.TO,26 Feb 2019,13.39,13.4,13.34,13.37,20541
AI.DB.A.TO,26 Feb 2019,100.03,100.03,100.03,100.03,24000
AI.DB.D.TO,26 Feb 2019,99,99,99,99,19000
AIF.TO,26 Feb 2019,24.92,26.14,24.84,25.87,173705
AII.TO,26 Feb 2019,0.64,0.64,0.63,0.64,4000
AIM.TO,26 Feb 2019,3.7,3.78,3.7,3.77,112455
AIM.PR.A.TO,26 Feb 2019,24.65,24.78,24.65,24.75,167198
AIM.PR.B.TO,26 Feb 2019,25,25.01,24.9,25,4400
AIM.PR.C.TO,26 Feb 2019,25.09,25.34,25.09,25.34,11096
AJX.TO,26 Feb 2019,0.77,0.78,0.75,0.76,4500
AKG.TO,26 Feb 2019,0.95,0.98,0.95,0.96,61185
AKT.A.TO,26 Feb 2019,3.75,3.75,3.75,3.75,3302
