Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,07 Feb 2019,0.05,0.05,0.05,0.05,10000
AAV.TO,07 Feb 2019,2.08,2.1,1.96,1.98,473862
ABT.TO,07 Feb 2019,8.74,8.8,8.39,8.49,226509
ABX.TO,07 Feb 2019,17.5,17.84,17.47,17.73,3240083
AC.TO,07 Feb 2019,31.15,31.2,30.46,31.18,1279912
ACB.TO,07 Feb 2019,9.72,10.47,9.65,10.3,23383680
ACB.WT.TO,07 Feb 2019,5.75,6.56,5.75,6.46,120428
ACD.TO,07 Feb 2019,9.68,9.68,9.55,9.55,775
ACI.TO,07 Feb 2019,16.92,16.95,16.68,16.72,13800
ACO.X.TO,07 Feb 2019,42.44,42.49,41.96,42.1,110242
ACO.Y.TO,07 Feb 2019,42.25,42.25,42,42,200
ACQ.TO,07 Feb 2019,10.77,10.93,10.62,10.64,111703
ACZ.UN.TO,07 Feb 2019,12,12,11.99,12,1100
AD.TO,07 Feb 2019,19.21,19.26,18.86,19.07,153065
ADN.TO,07 Feb 2019,17.23,17.64,17.15,17.51,8305
ADVZ.TO,07 Feb 2019,24.97,25,24.97,25,2179
ADVZ.U.TO,07 Feb 2019,18.93,18.93,18.8,18.85,4000
ADW.A.TO,07 Feb 2019,13.59,13.81,13,13.69,108532
ADW.B.TO,07 Feb 2019,14,14,13.49,13.65,4050
AEF.TO,07 Feb 2019,0.91,0.91,0.91,0.91,5000
AEF.WT.TO,07 Feb 2019,0.01,0.01,0.01,0.01,0
AEM.TO,07 Feb 2019,56.96,57.41,56.57,56.99,507214
AEZS.TO,07 Feb 2019,5.44,5.63,5.21,5.57,30211
AFN.TO,07 Feb 2019,54,54.22,52.49,53.49,34070
AFN.DB.B.TO,07 Feb 2019,100.5,100.5,100.5,100.5,1000
AFN.DB.C.TO,07 Feb 2019,104,104,104,104,0
AFN.DB.D.TO,07 Feb 2019,101,101.2,101,101.2,32000
AFN.DB.E.TO,07 Feb 2019,100,100,99.9,100,126000
AGF.B.TO,07 Feb 2019,5.41,5.5,5.41,5.44,76546
AGI.TO,07 Feb 2019,5.82,5.85,5.61,5.71,924620
AGT.TO,07 Feb 2019,17.85,17.89,17.83,17.86,74951
AHY.UN.TO,07 Feb 2019,7.59,7.59,7.59,7.59,0
AI.TO,07 Feb 2019,13.04,13.05,13,13.04,63022
AI.DB.TO,07 Feb 2019,100,100.03,100,100.03,40000
AI.DB.A.TO,07 Feb 2019,101.05,101.05,101,101,13000
AI.DB.B.TO,07 Feb 2019,100,100,100,100,0
AI.DB.C.TO,07 Feb 2019,98.49,98.5,98,98,19000
AI.DB.D.TO,07 Feb 2019,98,98,98,98,15000
AIF.TO,07 Feb 2019,24.63,24.63,23.92,23.95,87243
AII.TO,07 Feb 2019,0.6,0.67,0.6,0.67,29260
AIM.TO,07 Feb 2019,3.73,3.78,3.68,3.68,192017
AIM.PR.A.TO,07 Feb 2019,24.45,24.45,24.45,24.45,0
AIM.PR.B.TO,07 Feb 2019,24.74,24.75,24.74,24.75,500
AIM.PR.C.TO,07 Feb 2019,24.6,25,24.55,25,15638
AJX.TO,07 Feb 2019,0.78,0.78,0.77,0.77,1000
AKG.TO,07 Feb 2019,1,1.01,0.97,0.97,51246
AKT.A.TO,07 Feb 2019,3.35,3.47,3.34,3.35,13386
AKT.B.TO,07 Feb 2019,3.45,3.45,3.45,3.45,0
AKU.TO,07 Feb 2019,4.76,5,4.51,5,7900
AKU.U.TO,07 Feb 2019,3.7,3.81,3.66,3.75,309200
ALA.TO,07 Feb 2019,14.65,15.17,14.47,14.86,1998836
ALA.PR.A.TO,07 Feb 2019,14.73,14.79,14.71,14.77,3100
