Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,22 Jan 2019,0.05,0.05,0.05,0.05,0
AAV.TO,22 Jan 2019,2.36,2.38,2.25,2.28,1665060
ABT.TO,22 Jan 2019,8.21,8.3,8.2,8.21,35617
ABX.TO,22 Jan 2019,15.97,15.97,15.37,15.74,4825521
AC.TO,22 Jan 2019,28.27,28.43,27.73,27.98,847583
ACB.TO,22 Jan 2019,8.49,8.6,8.2,8.28,13152680
ACB.WT.TO,22 Jan 2019,5.09,5.15,4.9,4.98,41219
ACD.TO,22 Jan 2019,9.73,9.73,9.73,9.73,0
ACD.DB.TO,22 Jan 2019,97.6,97.6,97.6,97.6,0
ACI.TO,22 Jan 2019,16.21,16.39,16.12,16.27,160191
ACO.X.TO,22 Jan 2019,40.14,40.4,39.87,40.19,158535
ACO.Y.TO,22 Jan 2019,40.25,40.25,40.25,40.25,100
ACQ.TO,22 Jan 2019,10.64,10.64,10.33,10.41,108544
ACZ.UN.TO,22 Jan 2019,11.9,11.9,11.9,11.9,0
AD.TO,22 Jan 2019,18.74,18.74,18.4,18.51,186445
ADN.TO,22 Jan 2019,16.18,16.18,15.68,15.95,16347
ADVZ.TO,22 Jan 2019,25.02,25.02,23.85,23.85,636
ADVZ.U.TO,22 Jan 2019,18.9,18.9,18.33,18.33,1000
ADW.A.TO,22 Jan 2019,15.29,15.31,14.66,14.7,139746
ADW.B.TO,22 Jan 2019,15.4,15.4,15.4,15.4,100
AEF.TO,22 Jan 2019,1,1,0.96,0.96,6500
AEF.WT.TO,22 Jan 2019,0.01,0.01,0.01,0.01,0
AEM.TO,22 Jan 2019,52.8,52.8,51.95,52.5,864135
AEZS.TO,22 Jan 2019,4.78,4.78,4.55,4.75,30343
AFN.TO,22 Jan 2019,51.67,51.67,50.06,50.3,28448
AFN.DB.B.TO,22 Jan 2019,100.65,100.65,100.65,100.65,0
AFN.DB.C.TO,22 Jan 2019,102.3,102.3,102.3,102.3,0
AFN.DB.D.TO,22 Jan 2019,100.25,100.25,100.25,100.25,0
AFN.DB.E.TO,22 Jan 2019,99.95,99.99,99.95,99.99,495000
AGF.B.TO,22 Jan 2019,4.81,4.81,4.62,4.71,95982
AGI.TO,22 Jan 2019,5.15,5.34,4.99,5.29,970407
AGT.TO,22 Jan 2019,16.98,17.09,16.75,16.84,40472
AHY.UN.TO,22 Jan 2019,7.39,7.56,7.39,7.48,6600
AI.TO,22 Jan 2019,13.49,13.49,13.4,13.42,43135
AI.DB.TO,22 Jan 2019,99.99,100,99.99,100,14000
AI.DB.A.TO,22 Jan 2019,100.12,100.5,100.12,100.5,38000
AI.DB.B.TO,22 Jan 2019,99.99,100,99.99,99.99,19000
AI.DB.C.TO,22 Jan 2019,98.25,98.25,98.24,98.25,15000
AI.DB.D.TO,22 Jan 2019,98.89,98.91,97.5,97.51,35000
AIF.TO,22 Jan 2019,23.99,24.16,23.57,24.05,77452
AII.TO,22 Jan 2019,0.68,0.68,0.68,0.68,0
AIM.TO,22 Jan 2019,3.69,3.71,3.6,3.6,208397
AIM.PR.A.TO,22 Jan 2019,24.95,24.95,24.8,24.8,300
AIM.PR.B.TO,22 Jan 2019,24.98,25,24.53,24.53,6510
AIM.PR.C.TO,22 Jan 2019,24.9,25,24.8,25,5015
AJX.TO,22 Jan 2019,0.79,0.83,0.79,0.82,11900
AKG.TO,22 Jan 2019,0.91,0.92,0.88,0.89,37729
AKT.A.TO,22 Jan 2019,3.62,3.65,3.51,3.51,7425
AKT.B.TO,22 Jan 2019,3.71,3.71,3.71,3.71,1000
AKU.TO,22 Jan 2019,4.36,4.36,4.36,4.36,250
AKU.U.TO,22 Jan 2019,3.23,3.23,3.14,3.17,300
ALA.TO,22 Jan 2019,14.24,14.25,13.9,13.97,914405
ALA.PR.A.TO,22 Jan 2019,13.95,13.96,13.83,13.89,4400
ALA.PR.B.TO,22 Jan 2019,14.2,14.2,14.1,14.1,325
ALA.PR.E.TO,22 Jan 2019,17.46,17.46,17.28,17.31,4020
ALA.PR.G.TO,22 Jan 2019,16.5,16.54,16.26,16.26,12400
ALA.PR.I.TO,22 Jan 2019,20.23,20.23,19.94,20.02,11698
ALA.PR.K.TO,22 Jan 2019,18.25,18.25,17.61,17.68,42030
ALA.PR.U.TO,22 Jan 2019,17.75,17.9,17.4,17.75,16734
ALB.TO,22 Jan 2019,25.69,25.69,25.69,25.69,0
ALC.TO,22 Jan 2019,13.85,13.85,13.58,13.58,4800
ALC.DB.A.TO,22 Jan 2019,100.5,101.32,100.36,100.37,74000
ALO.TO,22 Jan 2019,1.02,1.03,0.99,1,57700
ALS.TO,22 Jan 2019,11.4,11.41,11.16,11.16,45991
ALYA.TO,22 Jan 2019,3.91,3.98,3.9,3.93,5744
AMM.TO,22 Jan 2019,1.03,1.03,0.94,0.96,31000
ANX.TO,22 Jan 2019,0.25,0.25,0.24,0.25,42287
AOI.TO,22 Jan 2019,1.17,1.17,1.14,1.15,39900
