Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,05 Feb 2019,0.05,0.05,0.05,0.05,12000
AAV.TO,05 Feb 2019,2,2.03,1.96,1.98,246786
ABT.TO,05 Feb 2019,8.22,8.73,8.22,8.49,529641
ABX.TO,05 Feb 2019,17.53,17.59,17.23,17.53,3923876
AC.TO,05 Feb 2019,30.38,31.28,30.18,31.21,1373937
ACB.TO,05 Feb 2019,10.76,10.78,9.88,10.34,29343370
ACB.WT.TO,05 Feb 2019,6.7,6.79,6.06,6.52,106878
ACD.TO,05 Feb 2019,9.66,9.66,9.66,9.66,113
ACD.DB.TO,05 Feb 2019,98.52,99,98.51,99,29000
ACI.TO,05 Feb 2019,16.89,17.22,16.7,16.81,31522
ACO.X.TO,05 Feb 2019,42,42.66,41.91,42.6,143102
ACO.Y.TO,05 Feb 2019,41.85,41.85,41.85,41.85,0
ACQ.TO,05 Feb 2019,10.76,10.78,10.62,10.75,43076
ACZ.UN.TO,05 Feb 2019,11.8,11.8,11.8,11.8,0
AD.TO,05 Feb 2019,19.17,19.26,19.04,19.22,339100
ADN.TO,05 Feb 2019,17.79,17.79,17.4,17.4,7419
ADVZ.TO,05 Feb 2019,24.83,24.93,24.39,24.88,2304
ADVZ.U.TO,05 Feb 2019,18.99,18.99,18.99,18.99,500
ADW.A.TO,05 Feb 2019,14.52,14.72,14.49,14.57,6862
ADW.B.TO,05 Feb 2019,14.6,14.6,14.6,14.6,300
AEF.TO,05 Feb 2019,0.91,0.91,0.91,0.91,2000
AEF.WT.TO,05 Feb 2019,0.01,0.01,0.01,0.01,0
AEM.TO,05 Feb 2019,57.16,57.48,56.74,57.4,401954
AEZS.TO,05 Feb 2019,5.61,5.7,5.26,5.41,66009
AFN.TO,05 Feb 2019,51.36,53.14,51.11,52.86,59692
AFN.DB.B.TO,05 Feb 2019,100.52,100.52,100.51,100.51,71000
AFN.DB.C.TO,05 Feb 2019,102.99,103,102.99,103,33000
AFN.DB.D.TO,05 Feb 2019,100.71,100.76,100.7,100.7,132000
AFN.DB.E.TO,05 Feb 2019,99.75,100,99.75,100,121000
AGF.B.TO,05 Feb 2019,5.24,5.38,5.15,5.35,271415
AGI.TO,05 Feb 2019,5.83,5.84,5.71,5.82,823025
AGT.TO,05 Feb 2019,16.69,17.96,16.49,17.84,599233
AHY.UN.TO,05 Feb 2019,7.59,7.59,7.59,7.59,0
AI.TO,05 Feb 2019,13.04,13.05,13,13.05,67670
AI.DB.TO,05 Feb 2019,99.95,100.26,99.95,100.26,20999
AI.DB.A.TO,05 Feb 2019,100.1,100.1,100.1,100.1,30000
AI.DB.B.TO,05 Feb 2019,100,100,100,100,28000
AI.DB.C.TO,05 Feb 2019,99,99,99,99,0
AI.DB.D.TO,05 Feb 2019,98,98,98,98,0
AIF.TO,05 Feb 2019,24.32,24.91,24.28,24.5,95127
AII.TO,05 Feb 2019,0.59,0.6,0.58,0.58,57500
AIM.TO,05 Feb 2019,3.73,3.81,3.71,3.78,177304
AIM.PR.A.TO,05 Feb 2019,24.75,24.75,24.5,24.61,62100
AIM.PR.B.TO,05 Feb 2019,24.6,24.6,24.26,24.26,90000
AIM.PR.C.TO,05 Feb 2019,24.7,24.7,24.6,24.69,52200
AJX.TO,05 Feb 2019,0.76,0.79,0.74,0.78,32500
AKG.TO,05 Feb 2019,1.04,1.04,1.01,1.01,51200
AKT.A.TO,05 Feb 2019,3.11,3.32,3.07,3.25,5818
AKT.B.TO,05 Feb 2019,3.45,3.45,3.45,3.45,100
AKU.TO,05 Feb 2019,4.65,4.7,4.65,4.7,1150
AKU.U.TO,05 Feb 2019,3.48,3.52,3.39,3.52,2948
ALA.TO,05 Feb 2019,14.27,14.49,14.08,14.37,1724426
ALA.PR.A.TO,05 Feb 2019,14.4,14.67,14.4,14.6,7650
ALA.PR.B.TO,05 Feb 2019,14.6,14.78,14.6,14.69,900
ALA.PR.E.TO,05 Feb 2019,17.9,18.36,17.9,18.01,3000
ALA.PR.G.TO,05 Feb 2019,16.85,16.91,16.77,16.77,5400
ALA.PR.I.TO,05 Feb 2019,20.75,21,20.7,20.98,55550
ALA.PR.K.TO,05 Feb 2019,18.8,19.1,18.7,18.7,112159
ALA.PR.U.TO,05 Feb 2019,18.87,19.04,18.75,18.96,6430
ALB.TO,05 Feb 2019,27.01,27.01,27.01,27.01,0
ALC.TO,05 Feb 2019,14,14.02,13.95,14.02,3075
ALC.DB.A.TO,05 Feb 2019,100.5,101.2,100.5,101.2,86000
ALO.TO,05 Feb 2019,1.07,1.07,1.04,1.05,62779
ALS.TO,05 Feb 2019,11.43,11.71,11.23,11.66,35850
ALYA.TO,05 Feb 2019,3.94,3.94,3.9,3.9,3200
AMM.TO,05 Feb 2019,0.97,1,0.95,0.95,23210
ANX.TO,05 Feb 2019,0.28,0.28,0.26,0.26,39410
AOI.TO,05 Feb 2019,1.23,1.23,1.21,1.23,19347
AP.UN.TO,05 Feb 2019,46.71,47.47,46.58,47.32,142293
APHA.TO,05 Feb 2019,14.14,14.32,12.73,14.07,16447330
APR.UN.TO,05 Feb 2019,10.29,10.39,10.23,10.37,21916
APS.TO,05 Feb 2019,2.63,2.63,2.5,2.59,29688
APY.TO,05 Feb 2019,2.8,2.8,2.8,2.8,100
AQA.TO,05 Feb 2019,0.21,0.23,0.21,0.23,312500
AQN.TO,05 Feb 2019,14.56,14.67,14.54,14.65,838132
AQN.PR.A.TO,05 Feb 2019,19.75,19.78,19.75,19.77,400
AQN.PR.D.TO,05 Feb 2019,21.1,21.1,20.99,20.99,600
AQY.A.TO,05 Feb 2019,10.03,10.03,10.03,10.03,3300
AQY.WT.TO,05 Feb 2019,0.3,0.3,0.3,0.3,0
AR.TO,05 Feb 2019,1.69,1.75,1.68,1.75,171938
ARE.TO,05 Feb 2019,18.09,18.34,18.02,18.31,145516
ARE.DB.C.TO,05 Feb 2019,103.5,103.5,103.01,103.01,10000
ARG.TO,05 Feb 2019,0.94,0.97,0.93,0.95,41838
ARX.TO,05 Feb 2019,9.3,9.35,9.15,9.21,1227258
ASM.TO,05 Feb 2019,0.84,0.88,0.84,0.85,56964
ASND.TO,05 Feb 2019,0.5,0.5,0.5,0.5,97749
ASND.WT.TO,05 Feb 2019,0.1,0.1,0.1,0.1,0
ASO.TO,05 Feb 2019,2.73,2.73,2.73,2.73,0
ASP.TO,05 Feb 2019,0.11,0.11,0.11,0.11,52366
ASP.WT.TO,05 Feb 2019,0.03,0.03,0.03,0.03,0
ASR.TO,05 Feb 2019,3.24,3.25,3.15,3.23,1104433
ATA.TO,05 Feb 2019,16.64,16.64,16.16,16.21,316564
ATD.A.TO,05 Feb 2019,72.49,73.5,72.49,73.3,674
ATD.B.TO,05 Feb 2019,72.16,73.55,72.09,73.35,743384
ATH.TO,05 Feb 2019,0.97,0.97,0.95,0.95,476675
ATL.TO,05 Feb 2019,0.09,0.09,0.09,0.09,0
ATP.TO,05 Feb 2019,3.26,3.3,3.26,3.28,34310
ATP.DB.D.TO,05 Feb 2019,100.61,100.61,100.6,100.6,2000
ATP.DB.E.TO,05 Feb 2019,103.51,103.51,103.51,103.51,0
ATZ.TO,05 Feb 2019,17.44,17.83,17.37,17.66,98513
AUG.TO,05 Feb 2019,1.37,1.4,1.36,1.39,100800
AUMN.TO,05 Feb 2019,0.42,0.42,0.42,0.42,4500
AUP.TO,05 Feb 2019,8.96,8.96,8.69,8.81,46650
AVL.TO,05 Feb 2019,0.06,0.06,0.05,0.06,91800
AVP.TO,05 Feb 2019,0.05,0.05,0.05,0.05,2000
AW.UN.TO,05 Feb 2019,36,36.37,35.79,36.37,7986
