Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,03 Jan 2019,0.06,0.06,0.06,0.06,2000
AAV.TO,03 Jan 2019,2,2.1,1.95,2.03,870100
ABT.TO,03 Jan 2019,7.87,7.9,7.77,7.87,23225
ABX.TO,03 Jan 2019,18,18.01,17.28,17.57,7719600
AC.TO,03 Jan 2019,25.86,25.86,24.75,25.11,1039727
ACB.TO,03 Jan 2019,7.01,7.14,6.88,6.91,7762392
ACB.WT.TO,03 Jan 2019,3.7,3.74,3.51,3.6,50913
ACD.TO,03 Jan 2019,9.1,9.14,9.09,9.14,5450
ACD.DB.TO,03 Jan 2019,95.75,95.75,95.75,95.75,0
ACI.TO,03 Jan 2019,16.3,16.41,16.03,16.16,18144
ACO.X.TO,03 Jan 2019,38.88,39.11,38.34,38.83,165576
ACO.Y.TO,03 Jan 2019,38.7,38.93,38.6,38.93,800
ACQ.TO,03 Jan 2019,11.32,11.69,11.18,11.55,122202
ACZ.UN.TO,03 Jan 2019,11.17,11.17,11.17,11.17,0
AD.TO,03 Jan 2019,16.81,16.84,16.57,16.58,175138
ADN.TO,03 Jan 2019,15.12,15.21,14.85,14.85,9768
ADVZ.TO,03 Jan 2019,25.85,25.85,25.4,25.5,3531
ADVZ.U.TO,03 Jan 2019,19,19,19,19,1000
ADW.A.TO,03 Jan 2019,13.4,13.52,13.23,13.23,18097
ADW.B.TO,03 Jan 2019,13.5,13.5,13.29,13.29,200
AEF.TO,03 Jan 2019,0.9,0.9,0.9,0.9,10000
AEF.WT.TO,03 Jan 2019,0.01,0.01,0.01,0.01,723000
AEM.TO,03 Jan 2019,55.3,55.67,54.27,55.6,737620
AEZS.TO,03 Jan 2019,4.11,4.16,4.06,4.13,21965
AFN.TO,03 Jan 2019,46.7,46.77,45.61,46.03,45956
AFN.DB.B.TO,03 Jan 2019,100.67,100.67,100.65,100.65,15000
AFN.DB.C.TO,03 Jan 2019,101.51,101.51,101.5,101.5,11000
AFN.DB.D.TO,03 Jan 2019,100.01,100.01,100.01,100.01,0
AFN.DB.E.TO,03 Jan 2019,98.99,99.01,98.99,99,44000
AGF.B.TO,03 Jan 2019,4.94,5.15,4.92,5.05,154008
AGI.TO,03 Jan 2019,5.18,5.21,5.06,5.21,802045
AGT.TO,03 Jan 2019,17.38,17.47,17.2,17.39,54797
AHY.UN.TO,03 Jan 2019,7.01,7.01,7.01,7.01,0
AI.TO,03 Jan 2019,12.85,12.94,12.72,12.78,29210
AI.DB.TO,03 Jan 2019,99,99,98.5,99,16000
AI.DB.A.TO,03 Jan 2019,99.89,99.89,99.87,99.88,17000
AI.DB.B.TO,03 Jan 2019,99.99,100,99.99,100,6000
AI.DB.C.TO,03 Jan 2019,95.8,95.8,95.8,95.8,14000
AI.DB.D.TO,03 Jan 2019,97,97,97,97,0
AIF.TO,03 Jan 2019,22.83,22.86,21.84,21.98,105043
AII.TO,03 Jan 2019,0.64,0.64,0.58,0.63,10087
AIM.TO,03 Jan 2019,3.6,3.67,3.58,3.61,302769
AIM.PR.A.TO,03 Jan 2019,24.5,24.5,24.5,24.5,3200
AIM.PR.B.TO,03 Jan 2019,24.3,24.3,24.3,24.3,0
