Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,31 Jan 2019,0.06,0.06,0.06,0.06,100000
AAV.TO,31 Jan 2019,2.15,2.18,2.03,2.05,514001
ABT.TO,31 Jan 2019,8.16,8.31,8.14,8.24,128400
ABX.TO,31 Jan 2019,17.36,17.6,17.18,17.59,7007576
AC.TO,31 Jan 2019,29.3,29.83,29.25,29.67,731649
ACB.TO,31 Jan 2019,9.16,9.34,9.06,9.3,11697920
ACB.WT.TO,31 Jan 2019,5.49,5.65,5.48,5.65,48641
ACD.TO,31 Jan 2019,9.66,9.66,9.66,9.66,0
ACD.DB.TO,31 Jan 2019,98.5,98.5,98.5,98.5,0
ACI.TO,31 Jan 2019,16.26,16.41,16.14,16.4,31205
ACO.X.TO,31 Jan 2019,41.22,41.63,41.03,41.55,259505
ACO.Y.TO,31 Jan 2019,41.5,41.5,41.5,41.5,228
ACQ.TO,31 Jan 2019,10.64,11.27,10.64,11.21,86820
ACZ.UN.TO,31 Jan 2019,11.64,11.8,11.64,11.8,2200
AD.TO,31 Jan 2019,18.8,18.88,18.61,18.81,561487
ADN.TO,31 Jan 2019,17.88,17.88,17.56,17.58,15058
ADVZ.TO,31 Jan 2019,25,25.4,24.75,24.75,15208
ADVZ.U.TO,31 Jan 2019,19.45,19.45,18.9,19.38,14000
ADW.A.TO,31 Jan 2019,14.77,14.77,14.65,14.67,4636
ADW.B.TO,31 Jan 2019,14.98,14.98,14.98,14.98,0
AEF.TO,31 Jan 2019,0.91,0.91,0.91,0.91,2000
AEF.WT.TO,31 Jan 2019,0.01,0.01,0.01,0.01,0
AEM.TO,31 Jan 2019,57.19,57.37,56.38,57.15,844229
AEZS.TO,31 Jan 2019,5.16,5.16,4.94,5.1,21744
AFN.TO,31 Jan 2019,51.37,51.37,50.27,50.34,93290
AFN.DB.B.TO,31 Jan 2019,100.52,100.52,100.51,100.51,20000
AFN.DB.C.TO,31 Jan 2019,102,102.02,101.9,101.9,86000
AFN.DB.D.TO,31 Jan 2019,100.75,101.19,100.7,100.7,101000
AFN.DB.E.TO,31 Jan 2019,100.48,100.49,100,100,165000
AGF.B.TO,31 Jan 2019,5.46,5.53,5.39,5.43,67807
AGI.TO,31 Jan 2019,5.92,5.97,5.81,5.85,1210623
AGT.TO,31 Jan 2019,16.71,16.86,16.33,16.38,72253
AHY.UN.TO,31 Jan 2019,7.61,7.73,7.61,7.73,500
AI.TO,31 Jan 2019,13.02,13.06,12.99,13.05,170014
AI.DB.TO,31 Jan 2019,100.9,100.9,100.9,100.9,12000
AI.DB.A.TO,31 Jan 2019,101,101,101,101,20000
AI.DB.B.TO,31 Jan 2019,100.02,100.02,100.01,100.01,2000
AI.DB.C.TO,31 Jan 2019,99,99,99,99,0
AI.DB.D.TO,31 Jan 2019,97.5,97.5,97.5,97.5,0
AIF.TO,31 Jan 2019,24.9,25.03,24.57,24.66,74783
AII.TO,31 Jan 2019,0.61,0.61,0.61,0.61,10499
AIM.TO,31 Jan 2019,3.56,3.66,3.56,3.64,218437
AIM.PR.A.TO,31 Jan 2019,24.96,25,24.51,25,6500
AIM.PR.B.TO,31 Jan 2019,24.66,25,24.66,25,4600
AIM.PR.C.TO,31 Jan 2019,24.8,25,24.8,25,4800
AJX.TO,31 Jan 2019,0.79,0.83,0.79,0.8,76600
AKG.TO,31 Jan 2019,1.03,1.05,1.03,1.05,154229
AKT.A.TO,31 Jan 2019,3.39,3.4,3.38,3.38,1121
AKT.B.TO,31 Jan 2019,3.35,3.35,3.35,3.35,100
AKU.TO,31 Jan 2019,4.4,4.4,4.4,4.4,0
AKU.U.TO,31 Jan 2019,3.4,3.5,3.4,3.5,1200
ALA.TO,31 Jan 2019,13.38,13.52,13.25,13.45,1582261
