Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,21 Jan 2019,0.05,0.05,0.05,0.05,0
AAV.TO,21 Jan 2019,2.33,2.4,2.31,2.36,140242
ABT.TO,21 Jan 2019,8.06,8.29,8.06,8.28,74597
ABX.TO,21 Jan 2019,15.62,16.11,15.52,15.89,1080720
AC.TO,21 Jan 2019,28.15,28.53,28.11,28.46,319158
ACB.TO,21 Jan 2019,8.61,8.69,8.3,8.4,7486042
ACB.WT.TO,21 Jan 2019,5.01,5.21,4.88,4.98,59759
ACD.TO,21 Jan 2019,9.8,9.8,9.73,9.73,900
ACD.DB.TO,21 Jan 2019,98,98,97.6,97.6,93000
ACI.TO,21 Jan 2019,16.35,16.44,15.92,15.94,24500
ACO.X.TO,21 Jan 2019,40.01,40.25,39.52,40.2,91754
ACO.Y.TO,21 Jan 2019,39.76,39.76,39.59,39.59,400
ACQ.TO,21 Jan 2019,11.14,11.15,10.6,10.68,82045
ACZ.UN.TO,21 Jan 2019,11.85,11.92,11.85,11.9,469
AD.TO,21 Jan 2019,18.73,18.79,18.59,18.7,37155
ADN.TO,21 Jan 2019,16.19,16.19,15.9,16.02,14601
ADVZ.TO,21 Jan 2019,25.21,25.21,25.21,25.21,230
ADVZ.U.TO,21 Jan 2019,17.81,19,17.81,19,740
ADW.A.TO,21 Jan 2019,14.87,15.45,14.81,15.29,28360
ADW.B.TO,21 Jan 2019,14.9,15.25,14.9,15.25,400
AEF.TO,21 Jan 2019,0.92,0.92,0.92,0.92,0
AEF.WT.TO,21 Jan 2019,0.01,0.01,0.01,0.01,0
AEM.TO,21 Jan 2019,51.55,52.13,51.45,52.07,103430
AEZS.TO,21 Jan 2019,4.63,4.83,4.63,4.83,6700
AFN.TO,21 Jan 2019,52,52.22,51.27,51.64,13711
AFN.DB.B.TO,21 Jan 2019,100.65,100.65,100.65,100.65,0
AFN.DB.C.TO,21 Jan 2019,103,103,102.3,102.3,38000
AFN.DB.D.TO,21 Jan 2019,100.25,100.25,100.25,100.25,0
AFN.DB.E.TO,21 Jan 2019,99.71,99.95,99.7,99.95,80000
AGF.B.TO,21 Jan 2019,4.82,4.84,4.8,4.82,29763
AGI.TO,21 Jan 2019,5.06,5.26,5,5.13,320301
AGT.TO,21 Jan 2019,16.8,17.11,16.74,16.96,26630
AHY.UN.TO,21 Jan 2019,7.24,7.24,7.24,7.24,0
AI.TO,21 Jan 2019,13.45,13.47,13.4,13.47,32342
AI.DB.TO,21 Jan 2019,99.99,100.25,99.99,100.25,26000
AI.DB.A.TO,21 Jan 2019,100.12,100.12,100.12,100.12,0
AI.DB.B.TO,21 Jan 2019,99.76,99.76,99.5,99.5,54000
AI.DB.C.TO,21 Jan 2019,98.3,98.31,98.3,98.31,2000
AI.DB.D.TO,21 Jan 2019,98.89,98.9,98.89,98.9,18000
AIF.TO,21 Jan 2019,24.69,24.69,23.89,23.95,40507
AII.TO,21 Jan 2019,0.68,0.68,0.66,0.68,3200
AIM.TO,21 Jan 2019,3.63,3.73,3.63,3.67,53653
AIM.PR.A.TO,21 Jan 2019,24.8,24.8,24.75,24.75,400
AIM.PR.B.TO,21 Jan 2019,25,25,25,25,0
AIM.PR.C.TO,21 Jan 2019,24.9,24.9,24.9,24.9,200
AJX.TO,21 Jan 2019,0.84,0.84,0.79,0.79,10599
AKG.TO,21 Jan 2019,0.91,0.91,0.89,0.9,4700
AKT.A.TO,21 Jan 2019,3.7,3.7,3.64,3.65,2245
