Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,16 Jan 2019,0.06,0.06,0.06,0.06,11663
AAV.TO,16 Jan 2019,2.31,2.37,2.26,2.37,510489
ABT.TO,16 Jan 2019,8,8.02,7.95,7.99,33091
ABX.TO,16 Jan 2019,15.66,15.79,15.51,15.73,6620477
AC.TO,16 Jan 2019,27.64,28.14,27.64,28.04,1618549
ACB.TO,16 Jan 2019,9.41,9.8,9.32,9.72,24363220
ACB.WT.TO,16 Jan 2019,5.74,6.05,5.61,5.97,183538
ACD.TO,16 Jan 2019,9.18,9.49,9.18,9.49,1000
ACD.DB.TO,16 Jan 2019,98,98,97.6,98,38000
ACI.TO,16 Jan 2019,16.5,16.5,15.91,16.3,120832
ACO.X.TO,16 Jan 2019,39.86,39.9,39.33,39.69,159864
ACO.Y.TO,16 Jan 2019,39.41,39.41,39.4,39.4,200
ACQ.TO,16 Jan 2019,11.26,11.47,11.25,11.32,53772
ACZ.UN.TO,16 Jan 2019,11.55,11.6,11.55,11.6,300
AD.TO,16 Jan 2019,18.3,18.45,18.23,18.42,151256
ADN.TO,16 Jan 2019,15.39,15.39,14.98,15,21995
ADVZ.TO,16 Jan 2019,25.43,25.48,25.35,25.35,930
ADVZ.U.TO,16 Jan 2019,19.15,19.15,19.15,19.15,600
ADW.A.TO,16 Jan 2019,14.92,14.92,14.63,14.71,13391
ADW.B.TO,16 Jan 2019,14.96,14.96,14.96,14.96,0
AEF.TO,16 Jan 2019,0.92,0.92,0.92,0.92,0
AEF.WT.TO,16 Jan 2019,0.01,0.01,0.01,0.01,27000
AEM.TO,16 Jan 2019,51.9,52.56,51.61,52.11,650766
AEZS.TO,16 Jan 2019,5.39,5.47,4.61,4.82,123359
AFN.TO,16 Jan 2019,51.27,51.94,51.05,51.94,31277
AFN.DB.B.TO,16 Jan 2019,100.66,100.66,100.66,100.66,0
AFN.DB.C.TO,16 Jan 2019,103,103,102.12,102.99,43000
AFN.DB.D.TO,16 Jan 2019,100.99,101,100.11,100.11,20000
AFN.DB.E.TO,16 Jan 2019,99.74,99.75,99.74,99.75,253000
AGF.B.TO,16 Jan 2019,4.76,4.86,4.75,4.81,57227
AGI.TO,16 Jan 2019,5.2,5.45,5.17,5.44,1074445
AGT.TO,16 Jan 2019,16.82,16.99,16.78,16.89,77479
AHY.UN.TO,16 Jan 2019,7.24,7.24,7.24,7.24,0
AI.TO,16 Jan 2019,13.24,13.49,13.22,13.42,19140
AI.DB.TO,16 Jan 2019,100.5,100.5,100.5,100.5,0
AI.DB.A.TO,16 Jan 2019,100.02,100.12,100.02,100.12,56000
AI.DB.B.TO,16 Jan 2019,100.03,100.03,100.02,100.02,10000
AI.DB.C.TO,16 Jan 2019,99,99,99,99,0
AI.DB.D.TO,16 Jan 2019,97.99,98,97.35,97.35,28000
AIF.TO,16 Jan 2019,24.03,24.67,24.01,24.57,85298
AII.TO,16 Jan 2019,0.65,0.65,0.63,0.64,20999
AIM.TO,16 Jan 2019,3.72,3.81,3.69,3.74,430843
AIM.PR.A.TO,16 Jan 2019,25,25,25,25,5145
AIM.PR.B.TO,16 Jan 2019,25,25,25,25,5800
AIM.PR.C.TO,16 Jan 2019,25,25.01,25,25.01,4900
AJX.TO,16 Jan 2019,0.82,0.84,0.8,0.84,10000
AKG.TO,16 Jan 2019,0.94,0.95,0.93,0.93,38600
AKT.A.TO,16 Jan 2019,3.85,3.9,3.75,3.79,8925
AKT.B.TO,16 Jan 2019,4.04,4.04,4.04,4.04,0
AKU.TO,16 Jan 2019,4.34,4.42,4.34,4.42,9000
AKU.U.TO,16 Jan 2019,3.24,3.3,3.22,3.22,49007
ALA.TO,16 Jan 2019,13.95,14.06,13.66,13.8,1327300
ALA.PR.A.TO,16 Jan 2019,14.55,14.55,14.24,14.4,4754
ALA.PR.B.TO,16 Jan 2019,14.57,14.57,14.57,14.57,100
ALA.PR.E.TO,16 Jan 2019,17.91,17.91,17.5,17.65,15190
ALA.PR.G.TO,16 Jan 2019,16.66,16.73,16.35,16.73,26205
ALA.PR.I.TO,16 Jan 2019,20.7,20.7,20.45,20.62,2700
ALA.PR.K.TO,16 Jan 2019,18.45,18.45,17.86,18.15,12604
ALA.PR.U.TO,16 Jan 2019,18.65,18.65,18.01,18.05,21960
ALB.TO,16 Jan 2019,24.55,24.55,24.55,24.55,0
ALC.TO,16 Jan 2019,13.19,13.55,13.19,13.4,7400
ALC.DB.A.TO,16 Jan 2019,100.99,101.01,100.99,101,164000
ALO.TO,16 Jan 2019,1.17,1.17,1.04,1.12,252900
ALS.TO,16 Jan 2019,11.47,11.56,11.4,11.49,28750
ALYA.TO,16 Jan 2019,3.9,3.93,3.76,3.76,3431
AMM.TO,16 Jan 2019,1.1,1.1,1.06,1.1,17600
ANX.TO,16 Jan 2019,0.26,0.26,0.26,0.26,356550
AOI.TO,16 Jan 2019,1.09,1.09,1.08,1.08,20100
AP.UN.TO,16 Jan 2019,45.58,45.76,45.27,45.74,199963
APHA.TO,16 Jan 2019,8.93,9.1,8.61,8.8,4709632
APR.UN.TO,16 Jan 2019,9.54,9.74,9.54,9.69,63723
APS.TO,16 Jan 2019,2.94,3.2,2.91,3.03,70809
APY.TO,16 Jan 2019,2.12,2.12,2.12,2.12,0
AQA.TO,16 Jan 2019,0.22,0.23,0.21,0.21,51000
AQN.TO,16 Jan 2019,14.05,14.05,13.86,14,1443020
AQN.PR.A.TO,16 Jan 2019,20.46,20.46,20.45,20.46,913
AQN.PR.D.TO,16 Jan 2019,22.56,22.56,22.52,22.52,500
AQY.A.TO,16 Jan 2019,10.01,10.01,9.97,10,70200
AQY.WT.TO,16 Jan 2019,0.25,0.35,0.2,0.35,27500
AR.TO,16 Jan 2019,1.49,1.55,1.48,1.51,190727
ARE.TO,16 Jan 2019,18.69,18.72,18.27,18.41,268375
ARE.DB.C.TO,16 Jan 2019,104,104,104,104,136000
ARG.TO,16 Jan 2019,0.96,1.01,0.96,1,85500
ARX.TO,16 Jan 2019,9.6,9.86,9.43,9.78,2863026
ASM.TO,16 Jan 2019,0.85,0.86,0.82,0.83,35700
ASM.WT.TO,16 Jan 2019,0.08,0.08,0.08,0.08,0
ASND.TO,16 Jan 2019,0.48,0.48,0.48,0.48,1000
ASND.WT.TO,16 Jan 2019,0.16,0.16,0.16,0.16,0
ASO.TO,16 Jan 2019,2.7,2.7,2.7,2.7,0
ASP.TO,16 Jan 2019,0.13,0.13,0.13,0.13,115800
ASR.TO,16 Jan 2019,2.6,2.63,2.58,2.62,258493
ATA.TO,16 Jan 2019,16.34,16.4,16.05,16.1,306310
ATD.A.TO,16 Jan 2019,71.97,72,71.24,71.63,1412
ATD.B.TO,16 Jan 2019,71.75,72.06,71.05,71.46,1013823
ATH.TO,16 Jan 2019,1.03,1.04,1.01,1.04,1260419
ATL.TO,16 Jan 2019,0.09,0.09,0.09,0.09,0
ATP.TO,16 Jan 2019,3.25,3.31,3.22,3.29,89294
ATP.DB.D.TO,16 Jan 2019,100.76,100.76,100.75,100.75,35000
ATP.DB.E.TO,16 Jan 2019,102.73,102.75,102.7,102.7,33000
ATZ.TO,16 Jan 2019,16.2,16.44,16.09,16.25,251032
AUG.TO,16 Jan 2019,1.22,1.24,1.22,1.23,10400
AUMN.TO,16 Jan 2019,0.42,0.42,0.42,0.42,2000
AUP.TO,16 Jan 2019,10.13,10.39,9.68,9.69,141792
AVL.TO,16 Jan 2019,0.05,0.05,0.05,0.05,12000
AVP.TO,16 Jan 2019,0.05,0.05,0.05,0.05,50000
AW.UN.TO,16 Jan 2019,36.01,36.36,35.7,36.07,13872
AX.PR.A.TO,16 Jan 2019,20.95,20.95,20.95,20.95,0
AX.PR.E.TO,16 Jan 2019,19.6,19.6,19.12,19.21,2660
AX.PR.G.TO,16 Jan 2019,20.39,20.39,20.39,20.39,135
AX.PR.I.TO,16 Jan 2019,23.5,23.5,23.5,23.5,341
AX.UN.TO,16 Jan 2019,10.08,10.19,10.01,10.13,336188
AXR.TO,16 Jan 2019,1.32,1.32,1.27,1.29,37175
AYM.TO,16 Jan 2019,3.59,3.59,3.59,3.59,0
AZP.PR.A.TO,16 Jan 2019,14.4,14.4,14.3,14.39,4200
AZP.PR.B.TO,16 Jan 2019,18.17,18.2,17.66,17.99,2600
AZP.PR.C.TO,16 Jan 2019,17.6,17.6,17.6,17.6,100
AZZ.TO,16 Jan 2019,0.25,0.25,0.23,0.23,121464
BAD.TO,16 Jan 2019,36,36.33,35.63,35.81,167008
BAM.A.TO,16 Jan 2019,54.36,54.72,54.12,54.51,1288766
BAM.PF.A.TO,16 Jan 2019,22.94,23,22.85,22.99,8162
BAM.PF.B.TO,16 Jan 2019,20.7,20.7,20.64,20.69,7315
BAM.PF.C.TO,16 Jan 2019,21.3,21.44,21.3,21.35,10398
BAM.PF.D.TO,16 Jan 2019,22.05,22.27,22.04,22.06,4540
BAM.PF.E.TO,16 Jan 2019,20.6,20.6,20.6,20.6,1717
BAM.PF.F.TO,16 Jan 2019,21.25,21.33,21.25,21.33,1100
BAM.PF.G.TO,16 Jan 2019,21.06,21.06,21.03,21.03,700
BAM.PF.H.TO,16 Jan 2019,26,26.06,26,26.06,5899
BAM.PF.I.TO,16 Jan 2019,25.2,25.5,25.19,25.41,21382
BAM.PF.J.TO,16 Jan 2019,24.65,24.68,24.6,24.6,20522
BAM.PR.B.TO,16 Jan 2019,13.72,13.72,13.46,13.46,22936
BAM.PR.C.TO,16 Jan 2019,13.63,13.63,13.55,13.6,1910
BAM.PR.E.TO,16 Jan 2019,19.38,19.38,19.38,19.38,0
BAM.PR.G.TO,16 Jan 2019,18.43,18.43,18.43,18.43,0
BAM.PR.K.TO,16 Jan 2019,13.5,13.5,13.5,13.5,1900
BAM.PR.M.TO,16 Jan 2019,20.66,20.81,20.66,20.8,2400
BAM.PR.N.TO,16 Jan 2019,20.75,20.79,20.55,20.55,4706
BAM.PR.R.TO,16 Jan 2019,18.45,18.45,18.18,18.18,14833
BAM.PR.S.TO,16 Jan 2019,18.7,18.7,18.7,18.7,100
BAM.PR.T.TO,16 Jan 2019,18.1,18.31,17.83,18.31,4052
BAM.PR.X.TO,16 Jan 2019,16.49,16.49,16.47,16.49,2210
BAM.PR.Z.TO,16 Jan 2019,22.52,22.52,22.5,22.51,30236
BANK.TO,16 Jan 2019,17.74,17.74,17.74,17.74,0
BAR.TO,16 Jan 2019,0.14,0.15,0.14,0.15,183539
BB.TO,16 Jan 2019,10,10.2,9.97,10.14,1598408
BB.DB.V.TO,16 Jan 2019,105,105,105,105,0
BBD.A.TO,16 Jan 2019,2.28,2.28,2.14,2.19,211970
BBD.B.TO,16 Jan 2019,2.12,2.14,1.99,2.02,16684330
BBD.PR.B.TO,16 Jan 2019,11.14,11.14,11.02,11.05,6600
BBD.PR.C.TO,16 Jan 2019,20.39,20.39,19.79,19.86,4810
BBD.PR.D.TO,16 Jan 2019,11.25,11.29,11.11,11.15,8150
BBL.A.TO,16 Jan 2019,7.12,7.12,7.12,7.12,0
BBU.UN.TO,16 Jan 2019,45.86,45.86,44.65,44.81,139660
BCB.TO,16 Jan 2019,20.02,20.07,19.63,19.82,128394
BCE.TO,16 Jan 2019,55.58,55.79,55.34,55.53,1355563
BCE.PR.A.TO,16 Jan 2019,16.8,16.8,16.56,16.56,2000
BCE.PR.B.TO,16 Jan 2019,17.4,17.4,17.05,17.18,13500
BCE.PR.C.TO,16 Jan 2019,18.12,18.12,17.99,18,7194
BCE.PR.D.TO,16 Jan 2019,17.42,17.42,17.3,17.3,4415
BCE.PR.E.TO,16 Jan 2019,17.38,17.38,17.37,17.37,600
BCE.PR.F.TO,16 Jan 2019,16.65,16.75,16.65,16.71,2700
BCE.PR.G.TO,16 Jan 2019,16.75,16.75,16.52,16.52,400
BCE.PR.H.TO,16 Jan 2019,17.3,17.3,17.24,17.24,800
BCE.PR.I.TO,16 Jan 2019,16.9,16.9,16.52,16.52,706
BCE.PR.J.TO,16 Jan 2019,17.4,17.4,17.25,17.26,6219
BCE.PR.K.TO,16 Jan 2019,15.77,15.84,15.7,15.83,10668
BCE.PR.L.TO,16 Jan 2019,15.85,15.85,15.75,15.75,6600
BCE.PR.M.TO,16 Jan 2019,16.16,16.16,15.66,16.11,9808
BCE.PR.N.TO,16 Jan 2019,16.61,16.61,16.6,16.6,2900
BCE.PR.O.TO,16 Jan 2019,21.5,21.54,21.11,21.11,2969
BCE.PR.Q.TO,16 Jan 2019,20.82,20.83,20.65,20.65,900
BCE.PR.R.TO,16 Jan 2019,17.35,17.35,17.2,17.22,49100
BCE.PR.S.TO,16 Jan 2019,17.35,17.35,17.23,17.23,4790
BCE.PR.T.TO,16 Jan 2019,16.4,16.49,16.4,16.49,1622
BCE.PR.Y.TO,16 Jan 2019,17.23,17.51,17.23,17.31,9136
BCE.PR.Z.TO,16 Jan 2019,16.7,16.7,16.7,16.7,0
BCI.TO,16 Jan 2019,31.19,31.19,31.19,31.19,0
BDI.TO,16 Jan 2019,1.96,2.05,1.95,2.01,77364
BDIV.TO,16 Jan 2019,18.45,18.45,18.45,18.45,0
BDT.TO,16 Jan 2019,6.59,6.7,6.53,6.65,15168
BEI.UN.TO,16 Jan 2019,39.87,39.87,38.89,39.71,94729
BEK.B.TO,16 Jan 2019,12.25,13.04,12.25,13.04,1042
BEP.PR.E.TO,16 Jan 2019,20.79,20.85,20.62,20.85,1675
BEP.PR.G.TO,16 Jan 2019,24.49,24.72,24.49,24.55,2500
BEP.PR.I.TO,16 Jan 2019,25,25,24.85,24.98,5150
BEP.PR.K.TO,16 Jan 2019,22.26,22.26,22.16,22.16,1818
BEP.PR.M.TO,16 Jan 2019,22.16,22.16,21.93,21.93,2601
BEP.UN.TO,16 Jan 2019,37.43,37.54,36.95,37.39,188389
BFIN.TO,16 Jan 2019,18.26,18.26,18.26,18.26,150
BGC.TO,16 Jan 2019,19.42,19.42,19.42,19.42,0
BGI.UN.TO,16 Jan 2019,6.05,6.09,6.03,6.03,14113
BGU.TO,16 Jan 2019,21.46,21.46,21.46,21.46,0
BGU.U.TO,16 Jan 2019,15.68,15.68,15.68,15.68,0
BHC.TO,16 Jan 2019,29.93,30.13,29.54,29.65,823891
BIP.PR.A.TO,16 Jan 2019,21.67,21.68,21.67,21.67,700
BIP.PR.B.TO,16 Jan 2019,25.06,25.18,25.05,25.18,6800
BIP.PR.C.TO,16 Jan 2019,24.98,25.07,24.95,25.07,9041
BIP.PR.D.TO,16 Jan 2019,24.06,24.19,24,24.19,67996
BIP.PR.E.TO,16 Jan 2019,23.2,23.35,22.97,23.02,4269
BIP.PR.F.TO,16 Jan 2019,23.31,23.32,23.09,23.1,4506
BIP.UN.TO,16 Jan 2019,50.84,50.9,49.7,50.03,367635
BIR.TO,16 Jan 2019,3.43,3.54,3.41,3.51,807731
BIR.PR.A.TO,16 Jan 2019,24.84,24.95,24.84,24.95,869
BIR.PR.C.TO,16 Jan 2019,24.4,24.4,24.4,24.4,0
BK.TO,16 Jan 2019,10.55,10.89,10.55,10.85,26760
BK.PR.A.TO,16 Jan 2019,10.13,10.13,10.08,10.1,7000
BKCH.TO,16 Jan 2019,17.21,17.21,17.21,17.21,0
BKI.TO,16 Jan 2019,0.05,0.05,0.05,0.05,497000
BKL.F.TO,16 Jan 2019,18.11,18.27,18.11,18.27,1000
BKX.TO,16 Jan 2019,0.32,0.32,0.31,0.32,83000
BL.UN.TO,16 Jan 2019,9.44,9.44,9.21,9.33,11000
BLB.UN.TO,16 Jan 2019,8.96,8.96,8.72,8.79,800
BLCK.TO,16 Jan 2019,17.85,17.85,17.85,17.85,0
BLDP.TO,16 Jan 2019,4.28,4.28,4.13,4.2,131839
BLU.TO,16 Jan 2019,1.03,1.07,1.03,1.03,59301
BLX.TO,16 Jan 2019,17.72,17.75,17.48,17.63,133060
BLX.DB.A.TO,16 Jan 2019,103,103,103,103,0
BMO.TO,16 Jan 2019,94.09,94.95,93.86,94.89,1582016
BMO.PR.A.TO,16 Jan 2019,23.4,23.4,23.4,23.4,0
BMO.PR.B.TO,16 Jan 2019,25.52,25.56,25.51,25.52,4169
BMO.PR.C.TO,16 Jan 2019,23.6,23.73,23.59,23.65,25680
