Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,18 Feb 2019,0.06,0.06,0.06,0.06,0
AAV.TO,18 Feb 2019,2.33,2.33,2.33,2.33,0
ABT.TO,18 Feb 2019,8.91,8.91,8.91,8.91,0
ABX.TO,18 Feb 2019,17.12,17.12,17.12,17.12,0
AC.TO,18 Feb 2019,33.15,33.15,33.15,33.15,0
ACB.TO,18 Feb 2019,9.3,9.3,9.3,9.3,0
ACB.WT.TO,18 Feb 2019,5.56,5.56,5.56,5.56,0
ACD.TO,18 Feb 2019,9.42,9.42,9.42,9.42,0
ACI.TO,18 Feb 2019,17,17,17,17,0
ACO.X.TO,18 Feb 2019,41.78,41.78,41.78,41.78,0
ACO.Y.TO,18 Feb 2019,41.28,41.28,41.28,41.28,0
ACQ.TO,18 Feb 2019,11.97,11.97,11.97,11.97,0
AD.TO,18 Feb 2019,19.37,19.37,19.37,19.37,0
ADN.TO,18 Feb 2019,17.29,17.29,17.29,17.29,0
ADVZ.TO,18 Feb 2019,24.53,24.53,24.53,24.53,0
ADW.A.TO,18 Feb 2019,12.96,12.96,12.96,12.96,0
ADW.B.TO,18 Feb 2019,13.15,13.15,13.15,13.15,0
AEF.TO,18 Feb 2019,0.85,0.85,0.85,0.85,0
AEF.WT.TO,18 Feb 2019,0.01,0.01,0.01,0.01,0
AEM.TO,18 Feb 2019,57.16,57.16,57.16,57.16,0
AEZS.TO,18 Feb 2019,5.22,5.22,5.22,5.22,0
AFN.TO,18 Feb 2019,57.56,57.56,57.56,57.56,0
AFN.DB.B.TO,18 Feb 2019,101,101,101,101,0
AFN.DB.C.TO,18 Feb 2019,107.5,107.5,107.5,107.5,0
AFN.DB.D.TO,18 Feb 2019,101,101,101,101,0
AFN.DB.E.TO,18 Feb 2019,100.74,100.74,100.74,100.74,0
AGF.B.TO,18 Feb 2019,5.45,5.45,5.45,5.45,0
AGI.TO,18 Feb 2019,5.99,5.99,5.99,5.99,0
AGT.TO,18 Feb 2019,17.86,17.86,17.86,17.86,0
AI.TO,18 Feb 2019,13.17,13.17,13.17,13.17,0
AI.DB.TO,18 Feb 2019,100,100,100,100,0
AI.DB.A.TO,18 Feb 2019,100,100,100,100,0
AI.DB.B.TO,18 Feb 2019,100,100,100,100,0
AI.DB.C.TO,18 Feb 2019,98.5,98.5,98.5,98.5,0
AI.DB.D.TO,18 Feb 2019,98.5,98.5,98.5,98.5,0
AIF.TO,18 Feb 2019,26,26,26,26,0
AII.TO,18 Feb 2019,0.67,0.67,0.67,0.67,0
AIM.TO,18 Feb 2019,3.83,3.83,3.83,3.83,0
AIM.PR.A.TO,18 Feb 2019,24.89,24.89,24.89,24.89,0
AIM.PR.B.TO,18 Feb 2019,24.5,24.5,24.5,24.5,0
AIM.PR.C.TO,18 Feb 2019,24.6,24.6,24.6,24.6,0
AJX.TO,18 Feb 2019,0.7,0.7,0.7,0.7,0
AKG.TO,18 Feb 2019,0.98,0.98,0.98,0.98,0
AKT.A.TO,18 Feb 2019,3.85,3.85,3.85,3.85,0
AKU.TO,18 Feb 2019,5.1,5.1,5.1,5.1,0
AKU.U.TO,18 Feb 2019,3.67,3.67,3.67,3.67,0
ALA.TO,18 Feb 2019,15.76,15.76,15.76,15.76,0
ALA.PR.A.TO,18 Feb 2019,14.5,14.5,14.5,14.5,0
ALA.PR.B.TO,18 Feb 2019,14.67,14.67,14.67,14.67,0
ALA.PR.E.TO,18 Feb 2019,18.11,18.11,18.11,18.11,0
ALA.PR.G.TO,18 Feb 2019,16.65,16.65,16.65,16.65,0
ALA.PR.I.TO,18 Feb 2019,21.09,21.09,21.09,21.09,0
ALA.PR.K.TO,18 Feb 2019,18.7,18.7,18.7,18.7,0
ALA.PR.U.TO,18 Feb 2019,18.54,18.54,18.54,18.54,0
ALC.TO,18 Feb 2019,13.39,13.39,13.39,13.39,0
ALC.DB.A.TO,18 Feb 2019,101,101,101,101,0
ALO.TO,18 Feb 2019,1.17,1.17,1.17,1.17,0
ALS.TO,18 Feb 2019,11.77,11.77,11.77,11.77,0
ALYA.TO,18 Feb 2019,3.9,3.9,3.9,3.9,0
AMM.TO,18 Feb 2019,0.94,0.94,0.94,0.94,0
ANX.TO,18 Feb 2019,0.28,0.28,0.28,0.28,0
AOI.TO,18 Feb 2019,1.2,1.2,1.2,1.2,0
AP.UN.TO,18 Feb 2019,47.66,47.66,47.66,47.66,0
APHA.TO,18 Feb 2019,12.68,12.68,12.68,12.68,0
APR.UN.TO,18 Feb 2019,10.47,10.47,10.47,10.47,0
APS.TO,18 Feb 2019,2.51,2.51,2.51,2.51,0
APY.TO,18 Feb 2019,2.69,2.69,2.69,2.69,0
AQA.TO,18 Feb 2019,0.21,0.21,0.21,0.21,0
AQN.TO,18 Feb 2019,14.24,14.24,14.24,14.24,0
AQN.PR.A.TO,18 Feb 2019,19.1,19.1,19.1,19.1,0
AQN.PR.D.TO,18 Feb 2019,20.4,20.4,20.4,20.4,0
AQY.WT.TO,18 Feb 2019,0.28,0.28,0.28,0.28,0
AR.TO,18 Feb 2019,1.94,1.94,1.94,1.94,0
ARE.TO,18 Feb 2019,18.19,18.19,18.19,18.19,0
ARE.DB.C.TO,18 Feb 2019,104,104,104,104,0
ARG.TO,18 Feb 2019,0.97,0.97,0.97,0.97,0
ARX.TO,18 Feb 2019,10.14,10.14,10.14,10.14,0
ASM.TO,18 Feb 2019,0.83,0.83,0.83,0.83,0
ASND.TO,18 Feb 2019,0.49,0.49,0.49,0.49,0
ASO.TO,18 Feb 2019,2.6,2.6,2.6,2.6,0
ASP.TO,18 Feb 2019,0.11,0.11,0.11,0.11,0
ASP.WT.TO,18 Feb 2019,0.03,0.03,0.03,0.03,0
